;200301;200302;200303;200304;200305;200306;200307;200308;200309;200310;200311;200312;200401;200402;200403;200404;200405;200406;200407;200408;200409;200410;200411;200412;200501;200502;200503;200504;200505;200506;200507;200508;200509;200510;200511;200512;200601;200602;200603;200604;200605;200606;200607;200608;200609;200610;200611;200612;200701;200702;200703;200704;200705;200706;200707;200708;200709;200710;200711;200712;200801;200802;200803;200804;200805;200806;200807;200808;200809;200810;200811;200812;200901;200902;200903;200904;200905;200906;200907;200908;200909;200910;200911;200912;201001;201002;201003;201004;201005;201006;201007;201008;201009;201010;201011;201012;201101;201102;201103;201104;201105;201106;201107;201108;201109;201110;201111;201112;201201;201202;201203;201204;201205;201206;201207;201208;201209;201210;201211;201212;201301;201302;201303;201304;201305;201306;201307;201308;201309;201310;201311;201312;201401;201402;201403;201404;201405;201406
0;;;;;;;;;;;;97.0;873.0;1455.0;1843.0;2231.0;2716.0;2619.0;2522.0;1940.0;1746.0;3201.0;3686.0;3977.0;3686.0;2425.0;3492.0;3589.0;3104.0;3104.0;3589.0;2619.0;3589.0;3298.0;3783.0;4074.0;3492.0;3783.0;5044.0;4753.0;6111.0;5529.0;5044.0;6402.0;6305.0;8536.0;7275.0;8245.0;7372.0;8245.0;7760.0;8245.0;8633.0;9700.0;8148.0;6499.0;8924.0;10379.0;10379.0;9506.0;9797.0;7566.0;9409.0;10088.0;8730.0;8245.0;8536.0;7178.0;8730.0;10185.0;9312.0;8536.0;8536.0;8342.0;7372.0;10088.0;8439.0;9894.0;9991.0;5626.0;11252.0;8342.0;8342.0;11737.0;13580.0;9797.0;13289.0;9317044.0;8527464.0;7106220.0;7579968.0;5763934.0;6869346.0;6711430.0;7422052.0;7579968.0;7264136.0;7027262.0;7501010.0;6711430.0;6079766.0;8290590.0;6869346.0;5606018.0;7579968.0;7027262.0;7264136.0;6632472.0;7264136.0;6079766.0;6000808.0;5606018.0;5842892.0;6553514.0;5448102.0;4500606.0;5448102.0;5448102.0;4895396.0;5211228.0;6237682.0;5290186.0;5684976.0;5842892.0;4816438.0;4105816.0;5132270.0;4658522.0;6395598.0;5684976.0;5290186.0;6079766.0;6158724.0;3868942.0;4500606.0;5763934.0;4263732.0;4753.0
3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;94284.0;377136.0;942840.0;754272.0;1319976.0;1508544.0;754272.0;1979964.0;1697112.0;1508544.0;1697112.0;2074248.0;1791396.0;2451384.0;1979964.0;1791396.0;1319976.0;2262816.0;2074248.0;2074248.0;2828520.0;2262816.0;1885680.0;2545668.0;1791396.0;1414260.0;1697112.0;2074248.0;2639952.0;1885680.0;2425.0
5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1803967.2000000002;3574527.6;3875188.8;4676952.0;4910799.6;4843986.000000001;4977613.2;4643545.199999999;4877392.8;4142443.2;5044426.800000001;4242663.600000001;5144647.2;4877392.8;5278274.4;4543324.8;4977613.2;5211460.8;4610138.4;5278274.4;4977613.2;4509918.0;2172800.0;2278422.2222222225;2233155.5555555555;3651.511111111111
6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3276660.0;5242656.0;9829980.0;8191650.0;12123642.0;12451308.0;11468310.0;13434306.0;14744970.0;8191650.0;12778974.0;10812978.0;12123642.0;17038632.0;14417304.0;8846982.0;17038632.0;14089638.0;11795976.0;15727968.0;13761972.0;12451308.0;6862944.0;7486848.0;6706968.0;4753.0
7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;231442.0;;231442.0;462884.0;694326.0;231442.0;231442.0;231442.0;231442.0;231442.0;231442.0;231442.0;231442.0;231442.0;215243.0;;;;215243.0;;;;97.0
8;;;;;;;97.0;485.0;776.0;679.0;776.0;582.0;873.0;873.0;388.0;970.0;582.0;679.0;970.0;679.0;1164.0;776.0;1843.0;485.0;776.0;388.0;776.0;1067.0;970.0;1358.0;582.0;679.0;873.0;1164.0;1164.0;582.0;1261.0;970.0;1649.0;776.0;679.0;2619.0;1358.0;388.0;388.0;873.0;291.0;1067.0;1455.0;873.0;194.0;679.0;1164.0;776.0;970.0;970.0;485.0;1455.0;1261.0;1358.0;1552.0;776.0;1261.0;1455.0;873.0;970.0;1455.0;1261.0;1843.0;1649.0;1067.0;2037.0;1067.0;1843.0;1552.0;1164.0;1261.0;1164.0;1164.0;776.0;2037.0;1358.0;1261.0;2231.0;2231.0;2522.0;1358.0;1306008.0;1233452.0;1886456.0;1378564.0;725560.0;1015784.0;725560.0;1523676.0;1378564.0;1813900.0;725560.0;2539460.0;1378564.0;1596232.0;943228.0;1886456.0;943228.0;1306008.0;1596232.0;1523676.0;580448.0;1233452.0;1160896.0;507892.0;1306008.0;1306008.0;1451120.0;1523676.0;725560.0;2321792.0;2394348.0;2104124.0;1668788.0;1886456.0;1596232.0;1959012.0;2176680.0;1596232.0;2031568.0;2176680.0;1596232.0;1959012.0;2757128.0;1451120.0;1668788.0;2684572.0;2321792.0;3119908.0;2176680.0;1378564.0;2522.0
9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54223.0;;162669.0;108446.0;162669.0;108446.0;54223.0;54223.0;108446.0;108446.0;108446.0;54223.0;108446.0;;;;54223.0;216892.0;216892.0;108446.0;;271115.0;108446.0;216892.0;;162669.0;379561.0;108446.0;54223.0;271115.0;488007.0;325338.0;216892.0;54223.0;162669.0;379561.0;433784.0;216892.0;433784.0;162669.0;;54223.0;271115.0;108446.0;216892.0;162669.0;54223.0;162669.0;108446.0;54223.0;108446.0;271115.0;54223.0;162669.0;162669.0;325338.0;216892.0;379561.0;162669.0;194.0
13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;388.0;291.0;873.0;970.0;388.0;1164.0;873.0;970.0;970.0;970.0;1358.0;1455.0;1358.0;2619.0;2425.0;2716.0;2619.0;2716.0;3201.0;2619.0;2910.0;3104.0;2619.0;3007.0;1981128.0;1338600.0;1606320.0;1713408.0;2088216.0;1820496.0;1874040.0;1659864.0;1552776.0;1552776.0;1445688.0;2034672.0;1338600.0;1285056.0;1338600.0;1766952.0;1927584.0;1392144.0;1338600.0;1499232.0;1445688.0;1070880.0;1552776.0;2248848.0;2463024.0;1820496.0;2516568.0;2248848.0;1981128.0;1445688.0;1766952.0;1231512.0;1820496.0;2355936.0;1927584.0;1766952.0;1874040.0;2034672.0;1445688.0;1820496.0;1820496.0;1766952.0;1820496.0;2248848.0;2141760.0;2195304.0;2463024.0;1981128.0;2355936.0;1874040.0;2409480.0;1820496.0;1820496.0;2034672.0;1499232.0;1231512.0;1820496.0;1927584.0;1552776.0;2088216.0;2034672.0;1392144.0;1659864.0;1017336.0;1499232.0;1843.0
14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;291.0;291.0;679.0;485.0;291.0;;;;;;97.0;97.0;97.0;291.0;582.0;291.0;679.0;679.0;679.0;776.0;679.0;776.0;485.0
