CIP13;200301;200302;200303;200304;200305;200306;200307;200308;200309;200310;200311;200312;200401;200402;200403;200404;200405;200406;200407;200408;200409;200410;200411;200412;200501;200502;200503;200504;200505;200506;200507;200508;200509;200510;200511;200512;200601;200602;200603;200604;200605;200606;200607;200608;200609;200610;200611;200612;200701;200702;200703;200704;200705;200706;200707;200708;200709;200710;200711;200712;200801;200802;200803;200804;200805;200806;200807;200808;200809;200810;200811;200812;200901;200902;200903;200904;200905;200906;200907;200908;200909;200910;200911;200912;201001;201002;201003;201004;201005;201006;201007;201008;201009;201010;201011;201012;201101;201102;201103;201104;201105;201106;201107;201108;201109;201110;201111;201112;201201;201202;201203;201204;201205;201206;201207;201208;201209;201210;201211;201212;201301;201302;201303;201304;201305;201306;201307;201308;201309;201310;201311;201312;201401;201402;201403;201404;201405;201406
3.40093E+12;;;;;;;;;;;;97;873;1455;1843;2231;2716;2619;2522;1940;1746;3201;3686;3977;3686;2425;3492;3589;3104;3104;3589;2619;3589;3298;3783;4074;3492;3783;5044;4753;6111;5529;5044;6402;6305;8536;7275;8245;7372;8245;7760;8245;8633;9700;8148;6499;8924;10379;10379;9506;9797;7566;9409;10088;8730;8245;8536;7178;8730;10185;9312;8536;8536;8342;7372;10088;8439;9894;9991;5626;11252;8342;8342;11737;13580;9797;13289;9317044;8527464;7106220;7579968;5763934;6869346;6711430;7422052;7579968;7264136;7027262;7501010;6711430;6079766;8290590;6869346;5606018;7579968;7027262;7264136;6632472;7264136;6079766;6000808;5606018;5842892;6553514;5448102;4500606;5448102;5448102;4895396;5211228;6237682;5290186;5684976;5842892;4816438;4105816;5132270;4658522;6395598;5684976;5290186;6079766;6158724;3868942;4500606;5763934;4263732;4753
3.40094E+12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;94284;377136;942840;754272;1319976;1508544;754272;1979964;1697112;1508544;1697112;2074248;1791396;2451384;1979964;1791396;1319976;2262816;2074248;2074248;2828520;2262816;1885680;2545668;1791396;1414260;1697112;2074248;2639952;1885680;2425
3.40095E+12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1803967.2;3574527.6;3875188.8;4676952;4910799.6;4843986;4977613.2;4643545.2;4877392.8;4142443.2;5044426.8;4242663.6;5144647.2;4877392.8;5278274.4;4543324.8;4977613.2;5211460.8;4610138.4;5278274.4;4977613.2;4509918;2172800;2278422.222;2233155.556;3651.511111
3.40095E+12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3276660;5242656;9829980;8191650;12123642;12451308;11468310;13434306;14744970;8191650;12778974;10812978;12123642;17038632;14417304;8846982;17038632;14089638;11795976;15727968;13761972;12451308;6862944;7486848;6706968;4753
3.40094E+12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;231442;;231442;462884;694326;231442;231442;231442;231442;231442;231442;231442;231442;231442;215243;;;;215243;;;;97
3.40094E+12;;;;;;;97;485;776;679;776;582;873;873;388;970;582;679;970;679;1164;776;1843;485;776;388;776;1067;970;1358;582;679;873;1164;1164;582;1261;970;1649;776;679;2619;1358;388;388;873;291;1067;1455;873;194;679;1164;776;970;970;485;1455;1261;1358;1552;776;1261;1455;873;970;1455;1261;1843;1649;1067;2037;1067;1843;1552;1164;1261;1164;1164;776;2037;1358;1261;2231;2231;2522;1358;1306008;1233452;1886456;1378564;725560;1015784;725560;1523676;1378564;1813900;725560;2539460;1378564;1596232;943228;1886456;943228;1306008;1596232;1523676;580448;1233452;1160896;507892;1306008;1306008;1451120;1523676;725560;2321792;2394348;2104124;1668788;1886456;1596232;1959012;2176680;1596232;2031568;2176680;1596232;1959012;2757128;1451120;1668788;2684572;2321792;3119908;2176680;1378564;2522
3.40094E+12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54223;;162669;108446;162669;108446;54223;54223;108446;108446;108446;54223;108446;;;;54223;216892;216892;108446;;271115;108446;216892;;162669;379561;108446;54223;271115;488007;325338;216892;54223;162669;379561;433784;216892;433784;162669;;54223;271115;108446;216892;162669;54223;162669;108446;54223;108446;271115;54223;162669;162669;325338;216892;379561;162669;194
3.40094E+12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;388;291;873;970;388;1164;873;970;970;970;1358;1455;1358;2619;2425;2716;2619;2716;3201;2619;2910;3104;2619;3007;1981128;1338600;1606320;1713408;2088216;1820496;1874040;1659864;1552776;1552776;1445688;2034672;1338600;1285056;1338600;1766952;1927584;1392144;1338600;1499232;1445688;1070880;1552776;2248848;2463024;1820496;2516568;2248848;1981128;1445688;1766952;1231512;1820496;2355936;1927584;1766952;1874040;2034672;1445688;1820496;1820496;1766952;1820496;2248848;2141760;2195304;2463024;1981128;2355936;1874040;2409480;1820496;1820496;2034672;1499232;1231512;1820496;1927584;1552776;2088216;2034672;1392144;1659864;1017336;1499232;1843
3.40092E+12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;291;291;679;485;291;;;;;;97;97;97;291;582;291;679;679;679;776;679;776;485
